,wt1,wt2,wt3,unp1,unp2,unp3
0_B,0.739205,0.505202,0.381202,-0.27008699999999997,-0.215054,0.303559
1_B,1.0981100000000001,-0.7711899999999999,0.44673999999999997,0.24245500000000003,0.669037,0.543722
2_B,0.22750399999999998,0.824628,0.94176,0.698451,0.107953,-0.44786899999999996
3_B,-0.12351500000000001,0.6541600000000001,0.05498240000000001,0.326793,-0.311168,0.300525
0_CI,0.0,0.0,0.0,0.401099,0.21389299999999997,1.25868
1_CI,0.0,0.0,0.0,0.05,0.05,0.05
2_CI,0.0,0.0,0.0,0.15,0.15,0.15
3_CI,0.0,0.0,0.0,-0.443621,-0.7038939999999999,0.609268
0_CN,0.0,0.0,0.0,0.15,0.15,0.15
1_CN,0.0,0.0,0.0,0.05,0.05,0.05
2_CN,0.0,0.0,0.0,0.15,0.15,0.15
3_CN,0.0,0.0,0.0,0.05,0.05,0.05
0_EN,0.0,0.0,0.0,0.11661600000000001,-0.26692899999999997,0.200192
1_EN,0.0,0.0,0.0,0.117124,0.11215499999999999,0.42961400000000005
2_EN,1.3654600000000001,1.12904,0.634482,0.324707,0.919006,0.419795
3_EN,0.0,0.0,0.0,-0.257961,0.0177572,0.48109399999999997
0_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_1,0.0,0.0,0.0,0.182482,-0.426834,-0.2125
0_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_3,0.0,0.0,0.0,0.301345,0.196829,0.275713
0_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_5,0.0,0.0,0.0,-0.314077,0.138073,-0.162445
1_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_1,0.0,0.0,0.0,0.349514,-0.571705,-0.44139799999999996
1_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_3,0.0,0.0,0.0,0.34624,0.29998800000000003,0.42200200000000004
1_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_5,0.0,0.0,0.0,-0.503724,-0.776837,1.21022
2_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
