,wt1,wt2,wt3,unp1,unp2,unp3
0_B,0.6628109999999999,0.30247399999999997,0.673982,0.335332,0.03257,0.119893
1_B,0.814248,-0.0922074,0.746717,-0.415264,-0.5353359999999999,0.126104
2_B,-0.760084,0.603853,0.307767,-0.468524,0.0172927,0.661093
3_B,0.286473,0.234163,0.44703699999999996,0.26905100000000004,-0.00608417,0.10910299999999999
0_CI,0.0,0.0,0.0,0.3969,-0.409868,0.420338
1_CI,0.0,0.0,0.0,0.05,0.05,0.05
2_CI,0.0,0.0,0.0,0.15,0.15,0.15
3_CI,0.0,0.0,0.0,-0.603792,0.283381,-0.346869
0_CN,0.0,0.0,0.0,0.15,0.15,0.15
1_CN,0.0,0.0,0.0,0.05,0.05,0.05
2_CN,0.0,0.0,0.0,0.15,0.15,0.15
3_CN,0.0,0.0,0.0,0.05,0.05,0.05
0_EN,0.0,0.0,0.0,-0.206184,0.805103,0.489418
1_EN,0.0,0.0,0.0,-0.0316353,-0.17449,-0.333014
2_EN,1.11716,1.00681,1.5420200000000002,0.0234983,-0.5546369999999999,-0.0563211
3_EN,0.0,0.0,0.0,-0.463107,0.055375400000000005,0.149956
0_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_1,0.0,0.0,0.0,0.0444826,0.391339,0.0470244
0_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_3,0.0,0.0,0.0,0.756568,-0.8129850000000001,0.620596
0_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
0_EWG_5,0.0,0.0,0.0,-0.35884699999999997,-0.10544200000000001,-0.015026900000000001
1_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_1,0.0,0.0,0.0,0.358442,-0.763059,0.07777200000000001
1_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_3,0.0,0.0,0.0,-0.0799395,0.143735,-0.0756145
1_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
1_EWG_5,0.0,0.0,0.0,-0.803559,-0.0343307,0.795946
2_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
2_EWG_1,0.0,0.0,0.0,0.492364,0.15859600000000001,0.810955
2_EWG_2,0.0,0.0,0.0,-0.37751999999999997,-0.015929699999999998,0.532065
2_EWG_3,0.0,0.0,0.0,0.39309099999999997,0.46026999999999996,0.72031
2_EWG_4,0.0,0.0,0.0,0.086028,0.652561,0.422217
2_EWG_5,0.0,0.0,0.0,-0.5868939999999999,-0.0433453,-0.8154239999999999
3_EWG_0,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_1,0.0,0.0,0.0,0.086309,0.0213576,-0.22855
3_EWG_2,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_3,0.0,0.0,0.0,0.8383379999999999,0.535213,0.26013600000000003
3_EWG_4,0.0,0.0,0.0,0.15,0.15,0.15
3_EWG_5,0.0,0.0,0.0,0.132748,-0.08829680000000001,0.47254300000000005
0_HH_0,0.0,0.0,0.0,0.15,0.15,0.15
0_HH_1,0.0,0.0,0.0,0.35668099999999997,-0.101892,-0.48585200000000006
0_HH_2,0.0,0.0,0.0,0.15,0.15,0.15
0_HH_3,0.0,0.0,0.0,-0.24235900000000002,0.298293,0.29096700000000003
0_HH_4,0.0,0.0,0.0,0.15,0.15,0.15
0_HH_5,0.0,0.0,0.0,0.0444937,0.138292,0.411945
1_HH_0,0.0,0.0,0.0,0.15,0.15,0.15
1_HH_1,0.0,0.0,0.0,0.128653,-0.6114649999999999,0.0551688
1_HH_2,0.0,0.0,0.0,0.15,0.15,0.15
1_HH_3,0.0,0.0,0.0,-0.927486,0.441801,0.108349
1_HH_4,0.0,0.0,0.0,0.15,0.15,0.15
